Roofers Full Name As Stated In Salesforce,Pilot Program?,Wattage Tier 1,Price per watt 1,Wattage Tier 2,Price per watt 2,Wattage Tier 3,Price per watt 3,Wattage Tier 4,Price per watt 4,Template Message,Price per Square,Roofer State,Notes,Adjustments,Roofer Specific Guidelines,Proposal SKUs,Approved for TS,Bulk Partner,Product + Design
EMT Renewables,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Energy Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
FairClaims Roofing & Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",5332.5,TX,Converts to $3.75/W,TRoble requested update to change pricing to $3.75/W on 4/26/22,No unique requirements,No Changes Needed,Y,N,N
Feazel Inc.,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,PA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Feazel Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,PA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Fields Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Floridian Roofing & Solar,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,N,N,N
Formula Roofing & Remodeling,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",4977,CO,Converts to $3.50/W,JKarsnia requested default pricing to be adjusted to 3.50/W on 2/18/22,No unique requirements,No Changes Needed,Y,N,N
Frank J Tucek & Son Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Freedom Roofing & Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
